Origin,WeekOfYear,cancelledTotal,cancelledCarrier,cancelledWeather,cancelledNAS,cancelledSecurity
BOS,51,187,36,117,34,0
LGA,4,187,47,67,73,0
LGA,31,184,43,56,85,0
LGA,13,183,57,41,85,0
ATL,49,182,56,22,104,0
ATL,7,182,69,81,32,0
ATL,12,180,176,1,3,0
LGA,23,179,64,68,47,0
ORD,30,177,99,39,39,0
IAH,50,175,2,131,42,0
EWR,32,175,15,32,128,0
ATL,34,174,32,15,127,0
EWR,24,172,21,28,123,0
DFW,18,170,66,99,5,0
LGA,2,170,36,129,5,0
EWR,31,169,22,23,124,0
EWR,25,169,26,12,131,0
IAH,37,167,10,141,16,0
JFK,30,166,36,111,19,0
DFW,5,166,74,81,11,0
LGA,25,163,39,61,63,0
DFW,4,163,68,46,49,0
ORD,28,162,113,12,37,0
ATL,29,162,67,46,49,0
ATL,13,161,71,29,61,0
DFW,36,159,22,132,5,0
DFW,23,157,53,80,24,0
ATL,5,156,32,100,23,1
LGA,11,152,42,55,55,0
ORD,35,151,54,28,69,0
LGA,5,151,46,70,35,0
JFK,50,150,12,124,14,0
JFK,31,150,11,111,28,0
ATL,30,150,75,22,53,0
DFW,13,149,85,44,20,0
DFW,32,144,59,51,34,0
ATL,35,143,23,111,9,0
ATL,6,141,39,78,24,0
EWR,4,140,18,43,79,0
JFK,9,136,28,82,26,0
LGA,1,136,61,23,52,0
LGA,36,132,23,52,57,0
BOS,32,132,21,52,59,0
EWR,13,131,27,14,90,0
BOS,31,129,27,43,59,0
ATL,36,124,19,86,19,0
DFW,35,124,35,87,2,0
EWR,51,123,9,106,8,0
EWR,5,121,13,46,62,0
JFK,51,119,24,88,7,0
DFW,30,119,95,20,4,0
LGA,49,118,39,35,44,0
DFW,51,118,27,84,7,0
BOS,6,118,28,61,29,0
EWR,49,117,10,22,85,0
DFW,25,116,48,58,10,0
LGA,17,116,33,12,71,0
LGA,22,116,34,28,54,0
LGA,38,115,30,20,65,0
ORD,26,114,46,22,46,0
LAX,0,113,65,31,17,0
LGA,27,112,46,34,32,0
JFK,24,112,9,78,25,0
LGA,43,110,36,12,62,0
IAH,25,110,15,86,9,0
ATL,11,109,38,40,31,0
DFW,7,109,30,76,3,0
EWR,2,109,11,95,3,0
ORD,24,108,46,24,38,0
EWR,11,107,20,38,49,0
LGA,51,106,41,52,13,0
JFK,6,106,14,75,17,0
DFW,19,106,58,42,6,0
LAX,14,106,105,1,0,0
ATL,33,105,34,68,3,0
DFW,33,105,62,34,9,0
EWR,23,105,23,30,52,0
BOS,25,105,35,35,35,0
JFK,23,105,17,75,13,0
ATL,14,104,96,4,4,0
IAH,9,104,27,74,3,0
BOS,9,103,42,44,17,0
LAX,50,103,51,45,7,0
ATL,4,102,34,47,21,0
EWR,30,101,31,10,60,0
ATL,45,100,30,20,50,0
IAH,49,99,23,66,10,0
DFW,45,96,18,56,22,0
DFW,27,94,74,13,7,0
EWR,19,94,7,7,80,0
BOS,14,94,85,2,7,0
ATL,8,94,58,27,9,0
BOS,22,93,25,24,44,0
EWR,36,93,5,50,38,0
BOS,24,92,29,30,33,0
LAX,7,91,49,29,13,0
LAX,4,91,55,16,20,0
ATL,23,91,57,16,18,0
JFK,2,90,38,50,2,0
BOS,30,89,46,26,17,0
EWR,1,89,7,30,52,0
LGA,21,88,21,26,41,0
ORD,32,87,50,20,17,0
DFW,29,86,42,23,21,0
LGA,12,86,65,7,14,0
DFW,31,85,53,23,9,0
LGA,30,85,48,9,28,0
ATL,26,84,20,25,39,0
DFW,2,84,54,26,4,0
LGA,18,83,39,16,28,0
DFW,10,83,28,55,0,0
LAX,3,83,46,20,17,0
LGA,8,83,50,15,18,0
DFW,34,82,50,21,11,0
LAX,9,82,43,30,9,0
BOS,4,82,30,19,33,0
ORD,15,81,56,3,22,0
LGA,19,81,20,21,40,0
ATL,31,80,33,33,14,0
IAH,29,80,24,37,19,0
IAH,35,79,0,79,0,0
BOS,27,79,51,17,11,0
LAX,12,79,54,12,13,0
BOS,13,78,33,19,26,0
ATL,10,78,44,18,16,0
LGA,44,76,28,12,36,0
LAX,2,75,54,17,4,0
JFK,36,74,3,57,14,0
LGA,45,74,25,23,26,0
JFK,25,74,8,59,7,0
DFW,15,74,46,23,5,0
ORD,37,74,23,36,15,0
BOS,5,74,17,36,21,0
JFK,27,74,18,44,12,0
LGA,28,73,47,2,24,0
BOS,23,73,36,22,15,0
DFW,17,73,39,14,20,0
DFW,16,73,33,40,0,0
JFK,4,73,26,39,8,0
LAX,6,73,44,22,7,0
ATL,32,72,52,4,16,0
BOS,11,72,28,19,25,0
LAX,1,72,45,17,10,0
EWR,14,72,45,5,22,0
DFW,49,72,34,25,13,0
LAX,5,71,47,24,0,0
LAX,48,70,30,39,1,0
BOS,17,70,28,19,23,0
ATL,22,70,46,10,14,0
BOS,49,70,24,18,28,0
ORD,45,69,28,14,27,0
ORD,44,69,34,5,30,0
ATL,48,68,36,18,14,0
JFK,17,68,15,32,21,0
DFW,0,68,53,13,2,0
ATL,25,67,34,9,24,0
EWR,10,67,47,2,18,0
EWR,48,67,10,12,45,0
LAX,51,66,31,32,3,0
JFK,35,66,4,53,9,0
JFK,28,66,24,26,16,0
LGA,3,66,29,19,18,0
ORD,43,65,40,2,23,0
LAX,29,65,46,9,10,0
EWR,52,65,3,44,18,0
IAH,33,64,1,43,20,0
LAX,36,63,20,41,2,0
ORD,10,63,52,8,3,0
LAX,43,62,20,31,11,0
BOS,36,62,13,27,22,0
EWR,27,62,12,10,40,0
EWR,45,61,4,5,52,0
EWR,18,61,11,6,44,0
LGA,26,61,28,14,19,0
IAH,6,61,10,48,3,0
EWR,17,61,6,6,49,0
LGA,16,61,41,11,9,0
DFW,8,61,43,10,8,0
ATL,0,61,44,14,3,0
LAX,30,59,56,0,3,0
ORD,19,59,41,4,14,0
EWR,8,59,18,30,11,0
ATL,1,59,24,26,9,0
ORD,33,58,33,13,12,0
ATL,24,58,28,9,21,0
LAX,11,58,35,20,3,0
LGA,10,58,39,10,9,0
LAX,23,57,47,8,2,0
LAX,13,57,46,9,2,0
JFK,11,56,20,31,5,0
BOS,8,56,30,21,5,0
BOS,28,56,37,8,11,0
BOS,44,55,27,9,19,0
JFK,13,55,16,31,8,0
BOS,1,55,28,13,14,0
DFW,1,55,37,12,6,0
EWR,22,54,15,19,20,0
LAX,20,53,48,4,1,0
ATL,28,52,41,1,10,0
LAX,52,52,12,40,0,0
ORD,34,51,42,3,6,0
LAX,28,51,48,1,2,0
LAX,17,51,47,1,3,0
BOS,0,51,43,5,3,0
LAX,18,51,47,1,3,0
IAH,4,51,8,33,10,0
BOS,52,51,7,42,2,0
JFK,1,51,25,23,3,0
BOS,26,50,28,9,13,0
BOS,21,50,23,8,19,0
IAH,10,50,17,33,0,0
BOS,12,49,44,1,4,0
JFK,52,49,12,36,1,0
LAX,25,48,37,3,8,0
LAX,46,48,33,12,3,0
LAX,15,48,40,4,4,0
LAX,44,47,39,0,8,0
BOS,18,47,26,11,10,0
EWR,0,47,19,6,22,0
LAX,8,47,35,9,3,0
JFK,45,46,4,35,7,0
EWR,43,46,4,9,33,0
LGA,35,46,21,20,5,0
IAH,13,46,9,21,16,0
LAX,27,45,42,1,2,0
DFW,22,45,27,11,7,0
IAH,19,45,10,25,10,0
LAX,32,45,42,2,1,0
BOS,3,45,29,13,3,0
EWR,26,44,7,20,17,0
EWR,21,44,9,8,27,0
LAX,22,44,32,5,7,0
LAX,49,43,35,7,1,0
LGA,0,43,34,3,6,0
IAH,51,42,7,20,15,0
ORD,41,42,21,3,18,0
ORD,46,41,39,1,1,0
ORD,20,41,40,1,0,0
DFW,28,41,37,2,2,0
JFK,14,41,21,11,9,0
LAX,10,41,33,7,1,0
JFK,42,40,4,25,11,0
DFW,37,40,26,10,4,0
DFW,20,40,38,1,1,0
IAH,3,40,2,38,0,0
LAX,31,40,30,8,2,0
LAX,45,39,35,4,0,0
BOS,38,39,9,7,23,0
EWR,38,39,1,4,34,0
JFK,8,39,10,25,4,0
LAX,24,39,32,6,1,0
JFK,22,39,15,11,13,0
LGA,48,38,19,6,13,0
LGA,33,38,27,11,0,0
LAX,35,38,29,8,1,0
ORD,39,37,27,4,6,0
IAH,32,37,11,25,1,0
IAH,41,37,3,31,3,0
LGA,15,37,27,8,2,0
EWR,44,36,0,3,33,0
BOS,45,36,18,5,13,0
LAX,37,36,22,11,3,0
BOS,43,36,20,4,12,0
LAX,16,36,35,1,0,0
ATL,42,35,17,3,15,0
ATL,37,35,13,18,4,0
DFW,48,35,29,3,3,0
EWR,3,35,14,6,15,0
IAH,7,34,9,25,0,0
LGA,42,34,22,3,9,0
IAH,14,34,28,6,0,0
JFK,48,33,6,18,9,0
ATL,40,33,11,18,4,0
LAX,39,33,32,0,1,0
LAX,26,33,30,2,1,0
ATL,17,33,18,2,13,0
ATL,52,33,17,14,2,0
ATL,43,32,22,2,8,0
LAX,42,32,19,11,2,0
LGA,41,32,24,2,6,0
LGA,39,32,24,1,7,0
JFK,26,32,23,6,3,0
IAH,42,31,11,14,6,0
JFK,38,31,5,20,6,0
LAX,33,31,26,3,2,0
LGA,40,31,23,1,7,0
DFW,44,31,23,0,8,0
EWR,12,31,27,0,4,0
JFK,5,31,9,17,5,0
DFW,43,31,19,0,12,0
ATL,18,31,20,2,9,0
LAX,40,30,28,1,1,0
LAX,21,30,27,2,0,1
DFW,46,29,26,1,2,0
BOS,16,29,24,5,0,0
DFW,52,29,23,5,1,0
BOS,19,29,9,5,15,0
JFK,44,28,7,18,3,0
BOS,37,28,24,2,2,0
LGA,37,28,21,2,5,0
JFK,21,28,2,12,14,0
IAH,24,28,10,16,2,0
BOS,48,28,15,8,5,0
ATL,46,27,23,0,4,0
ATL,16,27,20,5,2,0
LAX,34,27,26,1,0,0
BOS,10,27,23,2,2,0
JFK,49,27,6,17,4,0
BOS,42,26,17,3,6,0
BOS,15,26,22,1,3,0
DFW,41,25,16,8,1,0
DFW,38,25,22,0,3,0
ATL,47,25,23,1,1,0
LGA,52,25,13,11,1,0
LAX,19,25,23,1,1,0
LGA,20,24,15,0,9,0
ATL,20,24,19,1,4,0
ATL,19,24,14,3,7,0
IAH,5,24,4,18,2,0
BOS,33,23,17,6,0,0
EWR,28,23,10,2,11,0
JFK,18,23,10,13,0,0
BOS,35,23,11,9,3,0
JFK,0,23,17,2,4,0
LGA,46,22,18,1,3,0
DFW,42,22,17,3,2,0
LAX,41,22,19,2,1,0
ORD,38,22,12,2,8,0
JFK,33,22,10,10,2,0
IAH,23,22,5,11,6,0
ATL,21,22,11,6,4,1
BOS,46,21,18,0,3,0
DFW,39,21,21,0,0,0
LAX,47,21,18,2,1,0
IAH,30,21,13,6,2,0
LGA,34,21,15,1,5,0
BOS,47,20,13,2,5,0
BOS,20,20,15,0,5,0
BOS,39,20,15,0,5,0
DFW,47,20,18,2,0,0
ATL,38,20,15,0,5,0
IAH,18,19,7,11,1,0
ORD,40,18,12,1,5,0
IAH,2,17,3,12,2,0
JFK,12,17,16,0,1,0
ATL,39,17,16,0,1,0
LGA,47,17,13,0,4,0
JFK,43,17,8,5,4,0
DFW,40,16,15,0,1,0
ORD,42,16,13,2,1,0
DFW,26,16,14,1,1,0
LAX,38,16,14,2,0,0
EWR,33,16,9,7,0,0
EWR,16,16,12,4,0,0
EWR,35,16,2,13,1,0
JFK,3,16,14,1,1,0
ATL,44,15,7,1,7,0
IAH,34,15,7,7,1,0
ATL,41,14,11,1,2,0
BOS,34,14,9,1,4,0
JFK,19,14,10,4,0,0
IAH,17,14,9,4,1,0
ATL,15,13,13,0,0,0
JFK,16,13,12,1,0,0
IAH,1,13,7,6,0,0
IAH,27,13,7,2,4,0
BOS,41,12,9,1,2,0
ORD,47,12,11,1,0,0
JFK,34,12,9,3,0,0
BOS,40,11,10,0,1,0
IAH,12,11,10,1,0,0
EWR,15,11,10,0,1,0
EWR,46,11,11,0,0,0
IAH,8,11,6,3,2,0
IAH,0,11,6,5,0,0
EWR,42,10,2,3,5,0
JFK,10,10,10,0,0,0
EWR,37,10,6,2,2,0
EWR,20,10,7,1,2,0
JFK,37,9,3,4,2,0
EWR,34,9,4,3,2,0
IAH,45,8,4,4,0,0
IAH,21,8,5,3,0,0
IAH,16,8,6,2,0,0
IAH,26,6,4,2,0,0
IAH,22,6,1,3,2,0
JFK,15,6,5,1,0,0
IAH,38,5,4,1,0,0
JFK,20,5,5,0,0,0
JFK,47,5,4,0,1,0
IAH,28,5,5,0,0,0
IAH,15,5,1,3,1,0
JFK,41,5,4,1,0,0
IAH,20,5,3,0,2,0
IAH,44,5,4,1,0,0
IAH,52,5,4,0,1,0
IAH,48,4,1,3,0,0
EWR,40,3,3,0,0,0
JFK,39,3,3,0,0,0
JFK,46,2,2,0,0,0
EWR,39,2,2,0,0,0
IAH,40,2,1,1,0,0
IAH,46,2,2,0,0,0
IAH,43,2,1,1,0,0
EWR,41,2,1,0,1,0
IAH,39,1,1,0,0,0
